id,user_id,age,consent_commercial,consent_research,created_at_in_epoch,created_at,current_language,described_identity,first_language,gender,phone_model,id.1,user_id.1,audio_id,string_id,affect,last_modified,phone_position,file_name,id.2,audio_id.1,chunk_name,script,file_location,F1frequency_range,slope0-500_mean,slope500-1500_mean,F1frequency_mean,shimmer_mean,jitter_mean,loudness_mean
148.0,user_1533440b-337a-4662-9118-646eb138fad0,25-39,t,t,1654088489.0,"Wed, 01 Jun 2022 13:01:29 +0000",English,,English,Woman,Samsung Galaxy s8+,334.0,148.0,shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,user_1533440b-337a-4662-9118-646eb138fad0,disgust,"Tue, 02 Aug 2022 04:19:56 +0000",Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,18654.0,334.0,/final/chunk11.wav,birds make new jingles,shout-data\shout-data\shout_data_739dbf1c-ec21-42db-9e49-3aab58529973\final\chunk11.wav,1285.6146,0.09753485,-0.010815833,696.21594,0.896929,0.032174133,0.8777842
148.0,user_1533440b-337a-4662-9118-646eb138fad0,25-39,t,t,1654088489.0,"Wed, 01 Jun 2022 13:01:29 +0000",English,,English,Woman,Samsung Galaxy s8+,334.0,148.0,shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,user_1533440b-337a-4662-9118-646eb138fad0,disgust,"Tue, 02 Aug 2022 04:19:56 +0000",Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,18655.0,334.0,/final/chunk13.wav,birds make new jingles,shout-data\shout-data\shout_data_739dbf1c-ec21-42db-9e49-3aab58529973\final\chunk13.wav,1910.3059,0.11888816,-0.0145785995,829.3867,0.8319794,0.034187194,2.3131244
148.0,user_1533440b-337a-4662-9118-646eb138fad0,25-39,t,t,1654088489.0,"Wed, 01 Jun 2022 13:01:29 +0000",English,,English,Woman,Samsung Galaxy s8+,334.0,148.0,shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,user_1533440b-337a-4662-9118-646eb138fad0,disgust,"Tue, 02 Aug 2022 04:19:56 +0000",Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,18656.0,334.0,/final/chunk15.wav,birds make new jingles,shout-data\shout-data\shout_data_739dbf1c-ec21-42db-9e49-3aab58529973\final\chunk15.wav,1356.9926,0.09297482,-0.006694777,836.4957,0.7107408,0.023405252,2.07426
149.0,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,40-60,t,t,1649615601.0,"Sun, 10 Apr 2022 18:33:21 +0000",English,,English,Man,Samsung,453.0,149.0,shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,disgust,"Tue, 02 Aug 2022 04:17:07 +0000",Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,18657.0,453.0,/final/chunk00.wav,ripped ocean jumper,shout-data\shout-data\shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282\final\chunk00.wav,1165.2805,0.089318454,-0.0041565485,750.208,0.6075746,0.016230496,1.4149759
149.0,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,40-60,t,t,1649615601.0,"Sun, 10 Apr 2022 18:33:21 +0000",English,,English,Man,Samsung,453.0,149.0,shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,disgust,"Tue, 02 Aug 2022 04:17:07 +0000",Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,18658.0,453.0,/final/chunk10.wav,ripped ocean jumper,shout-data\shout-data\shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282\final\chunk10.wav,1177.351,0.08092844,-0.009609922,618.9661,0.6349309,0.028854055,0.65187645
149.0,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,40-60,t,t,1649615601.0,"Sun, 10 Apr 2022 18:33:21 +0000",English,,English,Man,Samsung,453.0,149.0,shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,disgust,"Tue, 02 Aug 2022 04:17:07 +0000",Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,18659.0,453.0,/final/chunk30.wav,ripped ocean jumper,shout-data\shout-data\shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282\final\chunk30.wav,1037.1635,0.07366249,-0.011703292,658.452,0.5864538,0.04874449,0.28882816
82.0,user_bfd2faaa-3a22-4154-a1c0-84ef122eed6b,25-39,t,t,1647715301.0,"Sat, 19 Mar 2022 18:41:41 +0000",English,,Hungarian,Woman,Samsung S8,1453.0,82.0,shout_data_b0cac9f6-259d-4f64-9366-26698550ef43.wav,user_bfd2faaa-3a22-4154-a1c0-84ef122eed6b,joy,"Tue, 02 Aug 2022 04:24:43 +0000",Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_b0cac9f6-259d-4f64-9366-26698550ef43.wav,18660.0,1453.0,/final/chunk10.wav,ripped ocean jumper,shout-data\shout-data\shout_data_b0cac9f6-259d-4f64-9366-26698550ef43\final\chunk10.wav,1856.8539,0.13135083,0.007925288,389.03598,0.5468811,0.014670486,0.82500863
80.0,user_5cf6d4c3-15be-4053-bb0d-73beb5ce6c81,25-39,t,t,1649762292.0,"Tue, 12 Apr 2022 11:18:12 +0000",English,,English,Woman,Samsung,1101.0,80.0,shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,user_5cf6d4c3-15be-4053-bb0d-73beb5ce6c81,joy,"Tue, 02 Aug 2022 04:30:33 +0000",Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,18669.0,1101.0,/final/chunk01.wav,snow meteor down the chimney,shout-data\shout-data\shout_data_fae60f89-5144-41b3-9173-6d943cb2738d\final\chunk01.wav,1496.6455,0.093540765,0.0031234166,805.099,0.6866706,0.03024846,3.121318
149.0,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,40-60,t,t,1649615601.0,"Sun, 10 Apr 2022 18:33:21 +0000",English,,English,Man,Samsung,754.0,149.0,shout_data_8b12154a-ac79-4560-b108-9bde561b8027.wav,user_64e22cbb-9b8d-4f3f-a35e-a224df73d9d2,neutral,"Tue, 02 Aug 2022 04:21:42 +0000",Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_8b12154a-ac79-4560-b108-9bde561b8027.wav,29436.0,754.0,/final/chunk10.wav,bananas and mustard sandwiches,shout-data\shout-data\shout_data_8b12154a-ac79-4560-b108-9bde561b8027\final\chunk10.wav,1122.7373,0.08089346,-0.011281527,561.3226,0.7719403,0.020161975,0.28348345
80.0,user_5cf6d4c3-15be-4053-bb0d-73beb5ce6c81,25-39,t,t,1649762292.0,"Tue, 12 Apr 2022 11:18:12 +0000",English,,English,Woman,Samsung,1101.0,80.0,shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,user_5cf6d4c3-15be-4053-bb0d-73beb5ce6c81,joy,"Tue, 02 Aug 2022 04:30:33 +0000",Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,18671.0,1101.0,/final/chunk21.wav,snow meteor down the chimney,shout-data\shout-data\shout_data_fae60f89-5144-41b3-9173-6d943cb2738d\final\chunk21.wav,1350.3649,0.1260114,-0.0031249458,671.85144,0.6131798,0.012096463,2.1024437
