mean pitch,pitch range,speech rate,energy,shimmer,jitter,spectral slope,mean intensity,max intensity,file_location,shout,emotion,phone_position
436.2921792,295.8618226,,0.01509995615,0.1109126347,0.01910297916,-0.02636118138,71.37250853,105.1790717,shout-data\shout-data\shout_data_1c6faa56-32ab-4b8a-8a93-d34f71c69256\final\chunkc.wav,1,anger,Hold your phone next to your face with your hand covering the mic 3/19
367.3072291,297.0385625,2.409638554,0.0180440375,0.08904189789,0.01876971218,-0.04966389406,73.49774061,105.7854228,shout-data\shout-data\shout_data_1c6faa56-32ab-4b8a-8a93-d34f71c69256\final\chunkb.wav,1,anger,Hold your phone next to your face with your hand covering the mic 3/19
276.0189504,305.3277676,2.192021043,0.007849467272,0.1006952348,0.01403544523,-0.02181283836,69.45639319,102.1331368,shout-data\shout-data\shout_data_1c6faa56-32ab-4b8a-8a93-d34f71c69256\final\chunka.wav,0,anger,Hold your phone next to your face with your hand covering the mic 3/19
363.3636533,431.9947499,,0.07775037748,0.1844526664,0.06833821384,-0.1294623545,79.49402771,110.3600951,shout-data\shout-data\shout_data_601c9360-50c6-4773-8693-58d924ef57f5\final\chunk20.wav,0,sadness,Hold your phone next to your hip with your hand covering the mic 5/19
207.8428379,474.7042803,,0.05058933173,0.2073912355,0.04664162964,-0.08339177152,78.27849472,109.9605432,shout-data\shout-data\shout_data_601c9360-50c6-4773-8693-58d924ef57f5\final\chunk10.wav,0,sadness,Hold your phone next to your hip with your hand covering the mic 5/19
111.9151582,428.7594553,,0.008196521439,0.2257748661,0.04451362224,-0.01685095462,70.9462115,102.6460125,shout-data\shout-data\shout_data_601c9360-50c6-4773-8693-58d924ef57f5\final\chunk30.wav,1,sadness,Hold your phone next to your hip with your hand covering the mic 5/19
221.4802956,123.9804928,1.948232675,0.006649127513,0.1209960364,0.02104180762,-0.01102030666,66.72218655,102.2034337,shout-data\shout-data\shout_data_2b4af2d8-a4d2-45fd-a47f-99d90e9955b1\final\chunkc.wav,1,anger,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19
335.4848148,470.4519193,,0.01839673051,0.1345323385,0.02733866513,-0.02509814256,71.5321488,105.5011372,shout-data\shout-data\shout_data_2b4af2d8-a4d2-45fd-a47f-99d90e9955b1\final\chunkb.wav,0,anger,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19
362.5167444,246.9065897,,0.02331975816,0.1377008772,0.01958113575,-0.0382124157,73.14809906,107.955188,shout-data\shout-data\shout_data_2b4af2d8-a4d2-45fd-a47f-99d90e9955b1\final\chunka.wav,0,anger,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19
446.7056698,274.215436,,0.04211981859,0.1556868388,0.03358436877,-0.0555157373,75.57050115,106.7442599,shout-data\shout-data\shout_data_8fcc67ef-cc5a-4699-8b04-b0c08be6d0d0\final\chunk10.wav,1,neutral,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19
427.0752208,233.6993308,,0.007244612047,0.1355184682,0.01430496013,-0.004945804869,67.35778807,102.3465246,shout-data\shout-data\shout_data_228ff1ce-1363-4b2f-b963-b74c5310aa7c\final\chunkc.wav,1,neutral,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19
352.929319,224.790986,,0.008519024909,0.1684748146,0.01653693713,-0.01622147566,68.31967021,104.6691708,shout-data\shout-data\shout_data_228ff1ce-1363-4b2f-b963-b74c5310aa7c\final\chunkb.wav,1,neutral,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19
